Symbol,Kmeans
CG10916,Cluster 1
Ets65A,Cluster 1
CR44809,Cluster 1
Ir41a,Cluster 1
Sox15,Cluster 1
sNPF-R,Cluster 1
CG3448,Cluster 1
CG13075,Cluster 1
mthl9,Cluster 1
CG34198,Cluster 1
lectin-37Da,Cluster 1
CHKov1,Cluster 1
CR44145,Cluster 1
CG3008,Cluster 1
Osi8,Cluster 1
Sox100B,Cluster 1
Uro,Cluster 1
CG42729,Cluster 1
CG33258,Cluster 1
CG42821,Cluster 1
dlg1,Cluster 1
CG13323,Cluster 1
hdly,Cluster 1
CG12780,Cluster 1
Cht4,Cluster 1
ver,Cluster 1
Sox21a,Cluster 1
CG14696,Cluster 1
CG12868,Cluster 1
Qtzl,Cluster 1
CG8353,Cluster 1
CG11878,Cluster 1
CG18635,Cluster 1
CG43055,Cluster 1
Burs,Cluster 1
CG13324,Cluster 1
CR43688,Cluster 1
CG6972,Cluster 1
Gr98c,Cluster 1
CG10912,Cluster 1
CG18823,Cluster 1
Ugt86Di,Cluster 1
CG44013,Cluster 1
CR44640,Cluster 1
CG42728,Cluster 1
CG12264,Cluster 1
CG8950,Cluster 1
Act42A,Cluster 1
CG14191,Cluster 1
CG7179,Cluster 1
CG9759,Cluster 1
CR44075,Cluster 1
CR44620,Cluster 1
CG34236,Cluster 1
CG8620,Cluster 1
CG34423,Cluster 1
CG14907,Cluster 1
CG14906,Cluster 1
CG43064,Cluster 1
CG43187,Cluster 1
unc-13-4A,Cluster 1
PK2-R1,Cluster 1
CG30289,Cluster 1
CG32107,Cluster 1
CG14499,Cluster 1
CG42825,Cluster 1
nvd,Cluster 1
Ugt37a1,Cluster 1
abd-A,Cluster 1
CG9757,Cluster 1
NAAT1,Cluster 1
Dot,Cluster 1
DIP-zeta,Cluster 1
ome,Cluster 1
NPFR,Cluster 1
CR32636,Cluster 1
CG2064,Cluster 1
CG4660,Cluster 1
CG33158,Cluster 1
CG32668,Cluster 1
CR45519,Cluster 1
Cpsf100,Cluster 1
CG15126,Cluster 1
CG11353,Cluster 1
GluRIIA,Cluster 1
Poxm,Cluster 1
CG1582,Cluster 1
CR44619,Cluster 1
CR45802,Cluster 1
esg,Cluster 1
CR32773,Cluster 1
Ostgamma,Cluster 1
CG7381,Cluster 1
cv-2,Cluster 1
CG6357,Cluster 1
tnc,Cluster 1
CG31869,Cluster 1
