Symbol,Kmeans
Pcyt1,Cluster 3
CG17278,Cluster 3
NTPase,Cluster 3
dpr10,Cluster 3
CG14024,Cluster 3
Cpr30B,Cluster 3
CG11155,Cluster 3
Ir25a,Cluster 3
NijC,Cluster 3
spo,Cluster 3
GstE4,Cluster 3
CG11997,Cluster 3
VhaM9.7-b,Cluster 3
TfAP-2,Cluster 3
Oct-TyrR,Cluster 3
hbs,Cluster 3
CR43989,Cluster 3
dpr1,Cluster 3
CG13875,Cluster 3
CG16732,Cluster 3
Grd,Cluster 3
CG14615,Cluster 3
Syt7,Cluster 3
Trh,Cluster 3
CG5921,Cluster 3
FANCI,Cluster 3
CG13982,Cluster 3
Fer1HCH,Cluster 3
psd,Cluster 3
CG9413,Cluster 3
CG13995,Cluster 3
CG14982,Cluster 3
CG7058,Cluster 3
CR44978,Cluster 3
sr,Cluster 3
Ir56a,Cluster 3
Teh2,Cluster 3
beat-Va,Cluster 3
CG43333,Cluster 3
igl,Cluster 3
Ugt86Dc,Cluster 3
Ggamma1,Cluster 3
CG34351,Cluster 3
CG12541,Cluster 3
Snap25,Cluster 3
etaTry,Cluster 3
CG10713,Cluster 3
beat-Vb,Cluster 3
CG10804,Cluster 3
Cad88C,Cluster 3
CG5367,Cluster 3
CG4619,Cluster 3
CG8026,Cluster 3
Yp1,Cluster 3
C1GalTA,Cluster 3
Lsm11,Cluster 3
